frequency_filtre,NF_01_filtre,S11_01_filtre,S21_01_filtre,S12_01_filtre,S22_01_filtre,NF_01s_filtre,S11_01s_filtre,S21_01s_filtre,S12_01s_filtre,S22_01s_filtre,NF_02_filtre,S11_02_filtre,S21_02_filtre,S12_02_filtre,S22_02_filtre,NF_02s_filtre,S11_02s_filtre,S21_02s_filtre,S12_02s_filtre,S22_02s_filtre,NF_03_filtre,S11_03_filtre,S21_03_filtre,S12_03_filtre,S22_03_filtre,NF_03s_filtre,S11_03s_filtre,S21_03s_filtre,S12_03s_filtre,S22_03s_filtre
62716000000,9.2440329,-14.539983,12.325487,-48.930424,-7.0794034,8.3337173,-13.159485,12.535447,-49.436516,-7.0811563,8.1287594,-13.426204,12.102779,-54.777405,-7.1974926,8.4581537,-13.426204,12.102779,-54.777405,-7.1974926,8.8351889,-14.321657,10.741097,-51.214474,-8.3280287,9.1813068,-14.360709,10.736547,-49.219299,-8.3148117
62733000000,8.4372511,-14.557949,12.30837,-54.731995,-7.1453261,8.3001633,-13.101497,12.516896,-51.926537,-7.1307421,8.7166805,-13.341042,12.084218,-52.812328,-7.2602496,8.4923468,-13.341042,12.084218,-52.812328,-7.2602496,9.5570326,-14.229741,10.721239,-59.947968,-8.3727407,9.2507343,-14.196264,10.715521,-51.415985,-8.3571024
62750000000,7.2738576,-14.622548,12.335373,-51.210285,-7.2274275,8.2218704,-13.062845,12.544133,-46.32386,-7.1689825,8.4221897,-13.211616,12.107911,-57.252689,-7.2756953,8.3180428,-13.211616,12.107911,-57.252689,-7.2756953,10.131415,-14.153325,10.741797,-46.647713,-8.3994064,9.1170845,-14.111259,10.733072,-53.514965,-8.3580799
62767000000,8.4625273,-14.685327,12.366324,-52.511959,-7.2428679,7.9934373,-13.128244,12.57921,-54.44228,-7.244451,9.5654135,-13.234797,12.13842,-52.017677,-7.2653332,8.2778215,-13.234797,12.13842,-52.017677,-7.2653332,8.7937231,-14.299122,10.760115,-53.372395,-8.3685141,9.1504478,-14.16875,10.755424,-59.631016,-8.3651476
62784000000,7.0606236,-14.921301,12.368533,-50.085323,-7.2722945,8.0459614,-13.516739,12.579808,-47.307266,-7.3114042,7.3493338,-13.447867,12.138545,-53.44595,-7.258769,8.3383589,-13.447867,12.138545,-53.44595,-7.258769,9.5667152,-14.420929,10.756658,-51.343555,-8.3230524,9.0415983,-14.48421,10.753386,-53.055138,-8.3293324
62801000000,8.8047304,-15.310264,12.334266,-52.201504,-7.2630911,8.029583,-13.702739,12.54387,-46.991543,-7.2903934,8.6275129,-13.750374,12.100084,-59.67741,-7.2490449,8.200614,-13.750374,12.100084,-59.67741,-7.2490449,8.2031946,-14.708641,10.721457,-57.784054,-8.3215637,9.0106659,-14.661813,10.718285,-53.081177,-8.3263054
62818000000,7.373992,-15.205136,12.265472,-61.278545,-7.2026186,8.136713,-13.678526,12.475525,-61.862652,-7.1798201,7.5802813,-13.805459,12.037519,-50.94083,-7.236166,8.1964207,-13.805459,12.037519,-50.94083,-7.236166,8.9462662,-14.770909,10.667532,-47.126587,-8.309885,9.1257448,-14.937673,10.66731,-52.534908,-8.3711872
62835000000,8.7175055,-14.949321,12.22815,-56.052937,-7.1706414,8.1417713,-13.572388,12.436966,-48.369251,-7.1816788,7.5345249,-13.759717,12.003551,-51.181702,-7.2598724,8.2154999,-13.759717,12.003551,-51.181702,-7.2598724,8.1512661,-14.618087,10.634636,-50.125172,-8.3747187,9.0438328,-14.492947,10.62946,-45.611092,-8.3172998
62852000000,7.6177483,-14.72082,12.23659,-57.084797,-7.1930151,8.1904383,-13.247223,12.444263,-50.503281,-7.1565557,7.9170542,-13.419063,12.010585,-50.028481,-7.2685919,8.2159529,-13.419063,12.010585,-50.028481,-7.2685919,9.6824932,-14.256264,10.643453,-50.601383,-8.3872166,8.9780712,-14.255118,10.638323,-48.870655,-8.3623352
62869000000,8.7455435,-14.566642,12.269188,-56.192608,-7.2410188,8.0317049,-13.124101,12.481006,-46.584705,-7.240047,8.7603254,-13.16381,12.038918,-50.248268,-7.2795463,8.0166321,-13.16381,12.038918,-50.248268,-7.2795463,7.4280748,-14.001559,10.663407,-48.980976,-8.3753376,8.7784195,-14.102639,10.662057,-49.214619,-8.4125156
